Player Name,Team,World,Vehicle Type,Companion,Kart Racing Rank,Platforming Rank,Boss Battle Rank,Power-Ups Used,Kart Role,Team Points,Lives Lost,Participation in Battle Mode,Mushroom Cup Participation,Power-Ups Owned,Coins Spent in Toad Town,Levels Completed,Times Hit by Enemies,Primary Game
Bowser,Red Caps,Yoshi's Island,Mach 8,pOLTERPUP,,B,S,10,Item Specialist,37.0,4.0,Yes,Yes,Super Star,485,25,6.0,                  Super Mario World                           
Toad,SARASALAND STARS,Mushroom Kingdom,Biddybuggy,sHY gUY,D,A,B,21,Driver,0.0,1.0,Yes,No,Fire Flower,246,51,8.0,Mario Strikers
,Sarasaland Stars,Yoshi's Island,Pipe Frame,Yoshi,,D,D,30,Drifter,-93.0,4.0,No,Yes,"Super Star, Green Shell, Banana Peel",22,92,0.0,Super Mario Bros.
Yoshi,GREEN CAPS,kOOPA kINGDOM,Mach 8,sHY gUY,,B,D,5,Speedster,-33.0,1.9,No,No,"Banana Peel, Red Shell",195,88,9.0,                           Super Mario Odyssey                           
,Koopa Clan,Star World,Circuit Special,Polterpup,,D,S,18,Blocker,191.0,5.0,Yes,No,"Fire Flower, Green Shell, Banana Peel",443,84,2.0,Super Mario World
Daisy,RED CAPS,Yoshi's Island,Pipe Frame,Yoshi,,A,B,16,Driver,31.49536,2.0,Yes,,1-Up Mushroom,321,65,4.0,Super Mario World
Waluigi,Sarasaland Stars,Star World,Standard Kart,gOOMBA,,A,B,15,Drifter,171.0,0.0,No,Yes,"Fire Flower, Banana Peel, Super Star",342,74,3.0,Mario Strikers
Rosalina,Green Caps,                           Star World                           ,Mach 8,Polterpup,D,C,A,30,Item Specialist,188.0,4.0,Yes,No,Green Shell,142,93,3.0,Mario Party Superstars
Waluigi,Dino Buddies,Yoshi's Island,Standard Kart,Goomba,B,D,C,26,Dri'fter,-25.0,1.54012,No,No,"Green Shell, Fire Flower, Red Shell",44,91,4.0,Mario Party Superstars
Waluigi,Koopa Clan,Koopa Kingdom,Circuit Special,Shy Guy,B,D,A,26,Item Specialist,66.0,0.0,No,No,Banana Peel,108,41,2.0,Mario Strikers
Daisy,Tricksters,Mushroom Kingdom,Circuit Special,Koopa Troopa,S,D,B,7,Speedster,-100.0,2.0,Yes,,"Banana Peel, 1-Up Mushroom",284,61,3.0,Mario Strikers
Waluigi,Tricksters,         Star World         ,Standard Kart,Koopa Troopa,D,C,B,19,Speedster,165.0,2.0,Yes,,Super Mushroom,207,34,5.0,Super Mario Odyssey
,Toad Brigade,Yoshi's Island,Pipe Frame,gOOMBA,C,A,C,28,Driver,52.389,5.733,No,,"Banana Peel, Fire Flower",129,68,4.0,Mario Tennis Aces
Waluigi,Green Caps,         sTAR wORLD         ,Pipe Frame,Koopa Troopa,,B,C,23,Speedster,3.61,3.0,Yes,No,Super Star,14,88,6.0,Mario Strikers
Mario,Toad Brigade,Donut Plains,Standard Kart,sHY gUY,B,S,A,5,Speedster,26.0,4.0,No,No,"Super Star, Red Shell, Banana Peel",446,70,7.0,Super Mario World
Daisy,Tricksters,mUSHROOM kINGDOM,Biddybuggy,tOAD,B,S,B,27,Speedster,44.2,3.5581,No,Yes,Green Shell,431,73,8.0,Super Mario Bros.
Rosalina,KOOPA CLAN,Donut Plains,Mach 8,Luma,S,A,A,30,D?river,190.99,5.0,No,Yes,"Fire Flower, Banana Peel",41,30,0.0,Super Mario Bros.
,Koopa Clan,Toad Town,Standard Kart,Yoshi,C,A,C,7,Blocker,88.0,3.0,No,No,Super Mushroom,50,61,3.0,Mario Kart 8 Deluxe
Rosalina,Mushroom Royalty,mUSHROOM kINGDOM,Scooter,Shy Guy,C,B,B,6,Item Specialist,151.0,4.0,Yes,Yes,"Banana Peel, Red Shell, Super Mushroom",388,47,2.0,Mario Tennis Aces
Waluigi,Dino Buddies,Mushroom Kingdom,Comet Bike,tOAD,C,A,C,13,Drifter,65.0,2.0,Yes,Yes,"Fire Flower, 1-Up Mushroom",277,91,9.0,                           Mario Tennis Aces                  
Daisy,Dino Buddies,Star World,Scooter,tOAD,B,S,D,21,Item Specialist,70.0,0.0,Yes,Yes,Super Mushroom,365,80,2.0,Super Mario World
Wario,Mushroom Royalty,Yoshi's Island,Mach 8,Koopa Troopa,,D,A,18,Blocke>r,-87.0,1.0,No,Yes,Banana Peel,411,37,4.0,Mario Kart 8 Deluxe
,,Yoshi's Island,Circuit Special,kOOPA tROOPA,B,C,C,26,Item Specialist,143.0,0.0,Yes,Yes,Green Shell,441,88,9.0,                  Super Mario Bros.         
Daisy,,Toad Town,Pipe Frame,Polterpup,C,A,D,23,Bloc!ker,54.0,3.0,No,Yes,Banana Peel,184,72,2.0,Mario Party Superstars
Wario,Dino Buddies,Donut Plains,                           Mach 8                  ,Yoshi,A,A,A,29,Speedster,-39.4,0.0,No,No,"1-Up Mushroom, Banana Peel",15,37,4.0,Mario Kart 8 Deluxe
Rosalina,GREEN CAPS,tOAD tOWN,Mach 8,gOOMBA,,D,C,26,Drifter,69.0,5.0,Yes,No,Green Shell,216,76,4.0,Mario Party Superstars
,Green Caps,Donut Plains,         Biddybuggy         ,kOOPA tROOPA,D,C,C,24,Drifter,-59.0,4.0,Yes,No,"Banana Peel, Super Mushroom",469,60,4.0,                           Mario Tennis Aces         
,Tricksters,Mushroom Kingdom,                           Pipe Frame                  ,Polterpup,D,B,B,20,Drifter_,122.0,5.0,No,,"Red Shell, Green Shell",34,31,2.0,         Mario Kart 8 Deluxe         
Waluigi,Koopa Clan,Koopa Kingdom,Scooter,Goomba,C,S,C,27,Driver,79.0,4.0,No,Yes,"Green Shell, Red Shell",57,52,3.0,Mario Party Superstars
Mario,Green Caps,Mushroom Kingdom,Biddybuggy,Yoshi,,D,C,25,Drifter,64.05,1.0,Yes,Yes,"Green Shell, Red Shell",34,66,1.0,Super Mario World
,Koopa Clan,Donut Plains,Standard Kart,gOOMBA,D,C,C,29,Speedster,-70.4,3.58,No,Yes,"Red Shell, Green Shell, Super Star",452,33,0.0,Super Mario Bros.
